0.0,0.04,0.13,0.22,0.31,0.4,0.48,0.58,0.67,0.75,0.85,0.94,1.02,1.12,1.2,1.3,1.39,1.47,1.57,1.66,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.69,1.68,1.68,1.66,1.56,1.47,1.39,1.29,1.21,1.12,1.02,0.94,0.85,0.75,0.67,0.58,0.49,0.4,0.31,0.22,0.13,0.03,0.0
0.0,0.0,0.09,0.2,0.29,0.39,0.48,0.58,0.68,0.78,0.87,0.97,1.07,1.17,1.26,1.36,1.46,1.56,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.62,1.61,1.61,1.61,1.62,1.61,1.61,1.55,1.46,1.35,1.26,1.17,1.07,0.98,0.87,0.78,0.68,0.59,0.48,0.39,0.29,0.2,0.09,0.0,0.0
0.0,0.0,0.05,0.16,0.26,0.37,0.48,0.59,0.7,0.81,0.92,1.02,1.13,1.24,1.34,1.45,1.56,1.56,1.56,1.55,1.55,1.55,1.55,1.56,1.56,1.56,1.55,1.55,1.55,1.55,1.56,1.56,1.56,1.56,1.45,1.34,1.23,1.13,1.02,0.92,0.81,0.7,0.59,0.48,0.37,0.27,0.16,0.05,0.0,0.0
0.0,0.0,0.0,0.1,0.22,0.35,0.47,0.6,0.72,0.85,0.97,1.1,1.22,1.35,1.47,1.51,1.5,1.51,1.5,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.47,1.34,1.22,1.1,0.97,0.85,0.72,0.6,0.47,0.35,0.22,0.1,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.15,0.3,0.45,0.61,0.76,0.91,1.06,1.2,1.36,1.48,1.47,1.47,1.47,1.48,1.48,1.47,1.47,1.47,1.48,1.48,1.47,1.47,1.47,1.48,1.48,1.47,1.47,1.47,1.48,1.48,1.47,1.47,1.47,1.36,1.21,1.05,0.9,0.76,0.61,0.46,0.3,0.15,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.02,0.22,0.42,0.61,0.81,1.01,1.2,1.39,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.44,1.44,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.44,1.44,1.45,1.45,1.45,1.45,1.45,1.45,1.44,1.44,1.39,1.21,1.01,0.81,0.61,0.41,0.22,0.02,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.03,0.33,0.61,0.91,1.19,1.43,1.42,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.42,1.43,1.43,1.43,1.43,1.42,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.43,1.19,0.9,0.61,0.33,0.03,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,1.16,1.41,1.42,1.42,1.42,1.41,1.42,1.42,1.41,1.42,1.42,1.42,1.41,1.42,1.42,1.41,1.42,1.42,1.42,1.42,1.42,1.42,1.41,1.42,1.42,1.41,1.42,1.42,1.42,1.41,1.42,1.42,1.41,1.15,0.58,0.01,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.58,1.15,1.41,1.42,1.42,1.41,1.42,1.42,1.42,1.41,1.42,1.42,1.41,1.42,1.42,1.42,1.42,1.42,1.42,1.41,1.42,1.42,1.41,1.42,1.42,1.42,1.41,1.42,1.42,1.41,1.42,1.42,1.42,1.41,1.16,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
